id,s,ed,src,decision,stop_basis,cash_before
871,NIFTYBEES,2026-04-01,etf_tradebook,taken,assumed 5pct because original unknown,6000000.0
872,NIFTYBEES,2026-04-02,etf_tradebook,same stock already held,assumed 5pct because original unknown,5498943.552674999
705,BUILDPRO,2026-04-15,tis,taken,assumed 5pct because original unknown,5498943.552674999
709,FRACTAL,2026-04-15,canslim,taken,recorded initial stop,4998344.656374999
715,RSL,2026-04-15,canslim,taken,recorded initial stop,4497551.996874999
719,STAR,2026-04-15,tis,taken,recorded initial stop,3996410.0162499994
721,TDPOWERSYS,2026-04-15,tis,taken,recorded initial stop,3495736.0928499997
729,GSPCROP,2026-04-15,tis,taken,recorded initial stop,2994565.3705499996
740,BELRISE,2026-04-15,tis,taken,assumed 5pct because original unknown,2493580.4014749997
845,SMALLCAP,2026-04-15,etf_tis,taken,assumed 5pct because original unknown,1992517.3175999997
851,SILVERCASE,2026-04-15,etf_tis,taken,assumed 5pct because original unknown,1491272.4503999997
867,LENSKART,2026-04-15,tradebook,taken,assumed 5pct because original unknown,990023.4027749997
878,RUBICON,2026-04-15,tradebook,cash unavailable at entry including costs,assumed 5pct because original unknown,489026.10294999974
880,UTLSOLAR,2026-04-15,tradebook,cash unavailable at entry including costs,assumed 5pct because original unknown,489026.10294999974
706,CEINSYS,2026-04-16,canslim,cash unavailable at entry including costs,recorded initial stop,489026.10294999974
707,CLEANMAX,2026-04-16,canslim,cash unavailable at entry including costs,recorded initial stop,489026.10294999974
712,ICICIAMC,2026-04-16,tis,cash unavailable at entry including costs,recorded initial stop,489026.10294999974
720,SYRMA,2026-04-16,tis,cash unavailable at entry including costs,assumed 5pct because original unknown,489026.10294999974
862,GMDCLTD,2026-04-16,tradebook,cash unavailable at entry including costs,assumed 5pct because original unknown,489026.10294999974
876,QPOWER,2026-04-16,tradebook,cash unavailable at entry including costs,assumed 5pct because original unknown,489026.10294999974
708,EMMVEE,2026-04-17,tis,cash unavailable at entry including costs,recorded initial stop,489026.10294999974
710,GMDCLTD,2026-04-17,tis,cash unavailable at entry including costs,recorded initial stop,489026.10294999974
711,GVT&D,2026-04-17,canslim,cash unavailable at entry including costs,recorded initial stop,489026.10294999974
713,NATCOPHARM,2026-04-17,tis,cash unavailable at entry including costs,recorded initial stop,489026.10294999974
714,RISHABH,2026-04-17,tis,cash unavailable at entry including costs,assumed 5pct because original unknown,489026.10294999974
716,SAKAR,2026-04-17,tis,cash unavailable at entry including costs,recorded initial stop,489026.10294999974
717,SHRIPISTON,2026-04-17,tis,cash unavailable at entry including costs,recorded initial stop,489026.10294999974
722,TENNIND,2026-04-17,tis,cash unavailable at entry including costs,recorded initial stop,489026.10294999974
856,AEQUS,2026-04-17,tradebook,cash unavailable at entry including costs,assumed 5pct because original unknown,489026.10294999974
873,PFOCUS,2026-04-17,tradebook,cash unavailable at entry including costs,assumed 5pct because original unknown,489026.10294999974
879,SMSPHARMA,2026-04-17,tradebook,cash unavailable at entry including costs,assumed 5pct because original unknown,489026.10294999974
